id_typ_pojazdu,id_marki,id_modelu,id_wymagana_kat_p_j,przebieg,rodz_paliwa,nr_rejestr
1,5,14,14,192705.340644,gaz,WI35656
1,7,4,13,158233.017923,ropa,WI93228
1,5,3,3,296679.863936,olej,WI83840
1,6,6,12,107074.495454,ropa,WI81690
1,0,10,13,146807.971769,olej,WI49815
1,5,3,13,168024.213872,ropa,WI78477
1,4,12,6,49747.9475704,olej,WI15946
1,7,15,10,187248.713485,benzyna,WI12078
1,6,7,0,169660.516416,ropa,WI85462
1,4,7,12,266920.940209,gaz,WI53461
1,0,4,12,241007.761292,gaz,WI75245
1,4,2,11,146284.111,gaz,WI25799
1,3,8,7,238596.737266,benzyna,WI55442
1,9,16,5,107370.713403,ropa,WI71800
1,6,18,2,101259.576315,benzyna,WI60878
1,8,14,8,136646.05697,olej,WI30464
1,2,4,13,69069.483348,ropa,WI67843
1,2,7,2,39907.7629907,ropa,WI50191
1,1,14,13,214542.015623,gaz,WI77625
1,4,17,12,85629.5555829,gaz,WI11213
1,9,7,13,299416.229157,gaz,WI25596
1,5,17,0,149733.760755,benzyna,WI65045
1,7,5,14,48341.3951036,ropa,WI74007
1,1,16,10,98179.7049554,gaz,WI97943
1,0,5,6,50047.6042188,olej,WI42987
1,2,7,0,135463.429261,benzyna,WI76879
1,6,7,6,6411.65984921,benzyna,WI80055
1,4,3,8,102076.792093,olej,WI65392
1,1,6,0,237554.59855,benzyna,WI14691
1,5,12,0,15660.7568356,olej,WI25175
1,0,4,14,34828.7962156,ropa,WI33673
1,9,16,5,117524.869665,benzyna,WI67491
1,8,8,14,231417.698131,olej,WI30063
1,6,13,4,287345.117241,olej,WI80484
1,3,9,13,163605.108139,benzyna,WI98264
1,7,9,1,65684.6120924,benzyna,WI55440
1,7,15,12,124609.767266,ropa,WI44194
1,0,1,15,268295.85032,ropa,WI43991
1,2,13,3,94978.3803881,gaz,WI40333
1,8,10,14,120262.956812,olej,WI44082
1,6,7,4,81109.3181685,gaz,WI25819
1,9,1,10,222701.706426,gaz,WI69135
1,6,5,7,208253.613764,ropa,WI98769
1,8,14,10,297322.466396,benzyna,WI99307
1,6,1,11,171867.127565,ropa,WI76520
1,4,3,0,59394.6388759,olej,WI45326
1,7,1,11,201718.071813,ropa,WI33703
1,3,15,6,125955.831833,gaz,WI82573
1,5,3,1,216597.469143,benzyna,WI67688
1,6,4,4,204771.013767,ropa,WI90698
1,5,16,12,172215.882816,olej,WI16933
1,9,14,5,94846.4333824,benzyna,WI82564
1,0,2,3,234885.611595,ropa,WI43214
1,4,3,7,169964.992284,ropa,WI82723
1,1,9,4,264198.946779,benzyna,WI12997
1,7,11,10,236402.218103,benzyna,WI76114
1,4,15,5,99736.9272991,olej,WI22861
1,1,13,7,52604.4180477,gaz,WI69238
1,3,0,7,166505.929811,gaz,WI80200
1,3,18,6,118803.096484,gaz,WI81525
1,3,7,1,184113.861028,gaz,WI63125
1,3,14,8,183103.673749,benzyna,WI49053
1,9,4,6,247363.712949,olej,WI42535
1,0,10,2,208061.102117,gaz,WI54422
1,7,9,9,254077.102459,gaz,WI75566
1,4,4,13,28639.6403715,olej,WI71104
1,7,9,4,18387.6089278,olej,WI36735
1,0,11,2,274198.974495,gaz,WI40007
1,0,11,3,65990.2492226,olej,WI58889
1,6,1,14,14126.609273,olej,WI29078
1,1,14,7,68086.3946501,ropa,WI95443
1,1,2,8,38927.5136576,olej,WI67922
1,7,17,12,105025.542051,benzyna,WI77738
1,4,11,1,1229.40864823,olej,WI83089
1,7,18,6,47550.30416,ropa,WI38420
1,4,11,10,117872.809689,olej,WI67089
1,6,16,12,64751.6675153,benzyna,WI92464
1,0,16,8,87368.9551119,olej,WI56907
1,6,15,5,34230.4270848,olej,WI82678
1,9,13,11,261588.79981,olej,WI24499
1,3,3,1,110616.220456,ropa,WI33949
1,1,8,1,188190.824235,benzyna,WI72492
1,5,17,15,54795.2629257,benzyna,WI63516
1,8,13,13,49020.9673887,gaz,WI75438
1,3,7,6,150859.830817,olej,WI72301
1,2,17,2,288345.014421,gaz,WI41658
1,2,3,1,285600.591621,benzyna,WI10718
1,5,2,13,118282.818479,gaz,WI87818
1,8,2,8,85054.5115576,gaz,WI45209
1,7,2,2,92728.1046429,olej,WI82577
1,7,8,10,224355.933269,benzyna,WI74404
1,6,8,5,129631.895449,ropa,WI58782
1,9,14,1,234552.565298,gaz,WI89027
1,2,7,13,107762.216242,olej,WI33534
1,3,6,15,148138.693619,gaz,WI24465
1,4,16,3,127947.517318,gaz,WI10484
1,9,18,0,202467.012953,benzyna,WI40160
1,9,5,5,11628.6013869,ropa,WI39141
1,8,17,9,288460.849134,gaz,WI33566
1,0,13,15,263342.994929,olej,WI48145
1,3,18,1,102385.112546,ropa,WI87425
1,2,1,13,9052.83052747,olej,WI65943
1,2,10,10,150987.020105,olej,WI44727
1,8,10,9,265875.476035,ropa,WI19131
1,1,11,4,158655.898032,ropa,WI88276
1,8,13,0,118974.799657,benzyna,WI51003
1,2,0,8,174564.386513,ropa,WI29779
1,2,12,9,80022.1182736,benzyna,WI28416
1,8,10,13,143884.006207,ropa,WI68688
1,6,15,0,182645.491607,ropa,WI84048
1,3,12,1,128867.228331,benzyna,WI35854
1,4,11,7,59887.380182,gaz,WI46330
1,3,10,8,266379.707517,benzyna,WI62036
1,1,5,13,61837.3474937,benzyna,WI82342
1,4,1,14,170256.592026,olej,WI40050
1,9,11,12,186908.599648,benzyna,WI15391
1,7,0,14,57061.0102992,ropa,WI72744
1,8,14,5,240121.362233,olej,WI19533
1,1,4,9,100955.394748,ropa,WI12169
1,9,14,1,17892.3082335,ropa,WI69165
1,2,9,8,167646.252756,benzyna,WI73254
1,2,13,6,280366.646538,gaz,WI60913
1,4,18,3,91231.8530921,olej,WI21073
1,4,8,9,135358.825839,ropa,WI68601
1,3,11,4,250487.20649,gaz,WI45659
1,9,2,8,157832.939456,olej,WI91467
1,8,16,3,230865.460137,olej,WI70095
1,1,13,14,35579.2500977,gaz,WI96163
1,7,17,11,175572.959234,ropa,WI82474
1,0,7,12,110595.919721,ropa,WI88285
1,2,11,7,274183.740801,ropa,WI91935
1,7,0,2,173623.807984,gaz,WI62140
1,3,16,8,175924.740971,gaz,WI54200
1,4,2,2,13382.747401,benzyna,WI99996
1,9,16,12,11390.0833545,olej,WI88953
1,3,16,8,83486.3154582,olej,WI73341
1,1,17,4,77355.8531737,benzyna,WI74339
1,9,8,14,173196.770226,gaz,WI22810
1,5,14,10,106825.883932,ropa,WI89532
1,0,18,10,99466.3540496,ropa,WI57562
1,7,8,11,96216.610717,olej,WI34957
1,1,6,8,209274.015494,benzyna,WI90479
1,6,9,14,184829.154088,gaz,WI72262
1,0,10,12,92523.3593909,ropa,WI77495
1,2,17,1,172305.632138,benzyna,WI86714
1,2,16,15,183803.635494,benzyna,WI28136
1,6,1,7,191635.940104,ropa,WI98805
1,0,12,2,34333.4006259,olej,WI63067
1,7,14,12,116840.569568,olej,WI96791
1,4,6,8,127972.231213,benzyna,WI86216
1,8,6,8,268128.979868,gaz,WI47373
1,3,2,13,224382.821689,olej,WI37443
1,0,18,11,220110.140083,ropa,WI46830
1,0,13,8,103682.705895,gaz,WI72605
1,6,7,15,242902.619225,gaz,WI14081
1,1,16,13,250567.858656,olej,WI21966
1,9,1,14,81247.626083,olej,WI62992
1,9,3,10,79179.6200904,olej,WI42610
1,9,16,11,265744.650618,gaz,WI94967
1,3,12,13,256827.641478,gaz,WI41777
1,3,12,6,111069.56585,gaz,WI85234
1,6,14,2,141791.026049,olej,WI90850
1,4,16,1,263550.986651,ropa,WI87935
1,8,10,9,130431.82734,olej,WI65774
1,0,0,1,140506.528703,olej,WI37930
1,3,5,3,145282.392837,benzyna,WI43199
1,6,4,11,53212.6982057,benzyna,WI84139
1,8,6,6,54066.9101904,gaz,WI64670
1,7,5,8,211709.021667,olej,WI92640
1,1,10,0,104887.935043,ropa,WI11518
1,2,17,12,188598.386589,gaz,WI48266
1,6,1,9,46635.4723255,olej,WI54923
1,5,16,10,215174.494164,benzyna,WI68560
1,9,0,13,30493.727473,ropa,WI36311
1,4,17,6,282116.505838,benzyna,WI34553
1,5,8,10,86647.2813714,benzyna,WI64636
1,3,11,0,164452.40039,ropa,WI44405
1,0,6,0,200656.063165,ropa,WI45661
1,3,17,3,115968.551664,benzyna,WI60966
1,9,15,5,167227.359333,gaz,WI91052
1,6,1,10,110454.495986,gaz,WI58527
1,5,8,7,183845.265067,olej,WI83869
1,0,18,13,18829.0064785,benzyna,WI34521
1,4,13,10,228742.116256,benzyna,WI87747
1,3,13,3,89869.3850423,ropa,WI98051
1,3,18,9,288349.309835,ropa,WI91034
1,1,18,4,190519.024691,gaz,WI27986
1,4,9,10,152098.413846,benzyna,WI31422
1,4,1,3,216497.307382,gaz,WI42847
1,8,12,11,212461.819024,benzyna,WI78857
1,8,14,4,166650.72128,benzyna,WI74882
1,6,0,4,1528.72348965,ropa,WI60465
1,3,7,7,108927.934111,gaz,WI74419
1,1,10,6,219036.666837,benzyna,WI67939
1,2,12,5,97873.1774763,ropa,WI34489
1,6,11,12,246365.807915,benzyna,WI94146
1,2,13,1,23097.4466907,ropa,WI37580
1,2,16,5,121693.174428,gaz,WI80411
1,9,2,5,109690.092552,ropa,WI13145
1,1,14,12,138496.524666,olej,WI20800
1,8,18,2,185642.353204,benzyna,WI55786
1,8,13,2,236764.834209,ropa,WI46467
1,3,14,10,110585.426596,olej,WI24588
1,0,17,9,44682.0972366,gaz,WI88794
1,2,4,12,161638.699152,benzyna,WI39857
1,7,8,10,32786.3028985,olej,WI84994
1,6,6,14,296409.616522,ropa,WI91270
1,6,9,15,45456.794137,ropa,WI26304
1,4,7,3,178730.789925,benzyna,WI70713
1,9,11,3,121864.555352,olej,WI24866
1,6,9,14,116195.694873,benzyna,WI27149
1,4,12,6,102956.479854,benzyna,WI16183
1,6,16,7,277165.003206,gaz,WI35999
1,8,0,10,51452.5917161,benzyna,WI16667
1,4,6,15,242740.588579,gaz,WI51622
1,3,4,15,3454.69644448,gaz,WI92414
1,2,6,3,69038.0363937,gaz,WI73220
1,5,17,15,229656.838891,gaz,WI11062
1,4,0,11,170569.423874,olej,WI10949
1,4,0,6,226834.541505,ropa,WI30352
1,4,13,13,266871.699614,gaz,WI44300
1,9,18,6,47636.6515843,benzyna,WI85459
1,7,14,3,293587.369812,gaz,WI25366
1,6,14,8,25465.6194464,benzyna,WI34264
1,4,12,13,221281.448261,benzyna,WI41726
1,3,4,15,157333.062586,benzyna,WI16182
1,2,0,8,210757.414288,benzyna,WI63376
1,2,18,7,294164.589071,gaz,WI96471
1,6,4,9,5412.68496081,benzyna,WI49434
1,5,9,10,96690.9091555,gaz,WI30829
1,0,0,11,55062.1698465,benzyna,WI16022
1,9,3,7,70407.4850399,olej,WI30520
1,1,3,6,7728.88644914,gaz,WI40118
1,5,11,4,139026.82555,olej,WI47342
1,0,6,5,144212.53643,benzyna,WI93101
1,4,2,4,96280.3923518,olej,WI12854
1,8,16,6,24390.4004689,ropa,WI17784
1,2,5,6,51280.3896541,benzyna,WI69208
1,4,4,2,27814.5217416,olej,WI63684
1,6,10,10,181665.339942,ropa,WI82959
1,8,14,14,92230.0478617,ropa,WI14546
1,1,17,10,78016.1569558,gaz,WI99706
1,9,13,1,131295.540113,ropa,WI38144
1,6,12,3,78152.1691947,ropa,WI95223
1,5,11,11,161244.611508,ropa,WI40395
1,2,16,3,287264.421268,benzyna,WI84166
1,6,3,2,274174.925616,gaz,WI22605
1,3,13,10,260034.974979,benzyna,WI65637
1,1,4,7,225039.275477,benzyna,WI59106
1,0,5,0,132206.094948,olej,WI16391
1,3,17,5,9017.35912736,ropa,WI60082
1,2,12,3,39959.159635,ropa,WI79895
1,9,3,11,259523.215273,gaz,WI80066
1,9,16,12,224041.803314,olej,WI87445
1,3,16,13,223084.133001,ropa,WI39166
1,8,10,6,219517.094807,benzyna,WI12075
1,7,2,7,251429.105525,olej,WI56133
1,5,4,13,164198.75231,gaz,WI20764
1,3,11,1,280402.273052,olej,WI64845
1,9,13,3,28112.6178878,benzyna,WI54940
1,4,16,3,7556.50678756,olej,WI73802
1,8,14,9,255399.988264,gaz,WI23060
1,4,6,4,248180.302792,olej,WI57999
1,3,12,1,110665.338939,ropa,WI23751
1,2,18,1,16043.524207,ropa,WI35953
1,6,12,6,267655.136206,gaz,WI85288
1,1,14,10,136302.714411,benzyna,WI43748
1,6,8,15,22772.2545021,olej,WI74147
1,4,15,2,163120.827139,olej,WI99273
1,4,12,11,52117.8393711,benzyna,WI21992
1,5,16,5,123761.486837,benzyna,WI19791
1,5,4,14,209492.663378,olej,WI77748
1,1,8,15,95938.0387413,gaz,WI59199
1,4,11,1,215627.439542,gaz,WI97345
1,8,18,7,166845.736823,gaz,WI93290
1,0,3,1,252090.128191,ropa,WI34524
1,3,1,7,177071.41415,olej,WI16716
1,2,13,8,196853.433588,gaz,WI64478
1,4,1,6,1732.60219774,gaz,WI66254
1,3,10,0,8516.74263319,olej,WI83632
1,9,7,7,953.181387683,gaz,WI21864
1,3,13,15,6868.38044549,ropa,WI86316
1,6,5,13,61868.4554678,ropa,WI29910
1,1,6,11,127017.512853,gaz,WI99140
1,2,10,0,85515.2586197,benzyna,WI21603
1,7,8,13,280520.401173,ropa,WI97221
1,9,8,3,67291.5883519,olej,WI31085
1,1,3,12,259471.533555,ropa,WI74235
1,0,18,1,191276.318303,ropa,WI49716
1,6,2,10,223618.608364,olej,WI50169
1,2,2,12,124901.901193,ropa,WI66515
1,6,15,0,78691.3177857,olej,WI42300
1,6,6,7,271241.852466,gaz,WI50977
1,6,18,13,87934.466015,olej,WI99658
1,9,16,11,278702.621726,benzyna,WI12510
1,3,9,7,98493.7274758,gaz,WI76839
1,0,4,14,82551.8144762,benzyna,WI59302
1,4,13,1,51907.2409928,olej,WI82952
1,1,16,14,208453.45387,gaz,WI96195
1,2,18,6,62396.488626,ropa,WI61736
1,7,8,7,262631.831588,olej,WI81410
1,4,12,14,62297.2997681,olej,WI16265
1,3,8,14,2352.66510058,olej,WI91282
1,9,7,11,38327.7498171,benzyna,WI59873
1,1,13,12,277791.568395,benzyna,WI97807
1,8,17,9,207640.462267,benzyna,WI48046
1,7,3,1,195872.946626,benzyna,WI25889
1,9,12,13,261543.983647,gaz,WI40856
1,9,10,9,227116.902946,gaz,WI34964
1,5,7,5,162261.341884,olej,WI56080
1,0,16,7,279021.083228,benzyna,WI67142
1,5,14,12,24900.7385452,olej,WI92744
1,9,12,0,277516.256797,olej,WI77536
1,3,5,1,33366.0604578,ropa,WI72594
1,7,12,1,73422.0821908,olej,WI42629
1,6,16,9,288110.330145,ropa,WI79424
1,5,0,1,115383.039503,benzyna,WI22704
1,0,17,15,280824.704801,ropa,WI58345
1,4,16,0,135174.235639,ropa,WI19488
1,0,17,3,89350.1717342,ropa,WI91648
1,7,3,14,64587.896791,ropa,WI82668
1,6,9,10,10219.5546917,gaz,WI68448
1,5,15,9,197417.410256,gaz,WI93339
1,5,15,15,216062.139607,gaz,WI59319
1,9,14,0,275166.975896,ropa,WI39894
1,3,7,7,45534.851657,gaz,WI69224
1,1,9,8,156141.688258,olej,WI29519
1,9,17,12,144064.227124,benzyna,WI38414
1,6,1,2,250396.458379,olej,WI31184
1,5,12,15,48398.028267,ropa,WI24010
1,5,17,5,70654.0708114,benzyna,WI33167
1,1,5,14,273237.365286,benzyna,WI83483
1,4,4,13,8768.15868597,ropa,WI37117
1,5,11,2,182635.558466,ropa,WI16337
1,0,15,5,156372.525337,ropa,WI45731
1,3,2,9,232028.059584,olej,WI66715
1,3,18,7,147133.811214,benzyna,WI13449
1,7,3,14,3566.29054649,olej,WI64073
1,2,4,10,207695.461605,ropa,WI17146
1,8,12,13,235383.416184,gaz,WI78312
1,1,9,1,138515.047796,olej,WI43997
1,8,6,8,252247.539686,olej,WI12165
1,6,4,9,227960.481607,ropa,WI36274
1,2,9,5,283876.673824,ropa,WI89033
1,0,6,3,246218.52023,ropa,WI99998
1,5,2,9,99604.9212423,benzyna,WI30016
1,0,0,1,198126.573529,gaz,WI33384
1,4,9,10,120057.392266,benzyna,WI92249
1,6,11,7,278348.165276,benzyna,WI38841
1,5,1,5,299225.265838,gaz,WI20103
1,8,6,2,81701.1841611,olej,WI50534
1,5,14,0,4292.92894959,olej,WI13697
1,9,4,3,153154.737139,benzyna,WI96452
1,5,14,9,190840.051632,gaz,WI95368
1,7,17,5,204446.332374,gaz,WI87843
1,5,17,7,125436.005648,benzyna,WI36012
1,8,4,4,46372.0049651,benzyna,WI31561
1,7,9,14,195608.752895,gaz,WI55948
1,6,11,12,10116.060763,olej,WI44858
1,8,2,9,247487.10286,benzyna,WI23345
1,4,6,8,84529.8976365,benzyna,WI74340
1,2,6,10,161435.492504,benzyna,WI26879
1,8,6,8,64961.4792776,gaz,WI76528
1,5,10,13,257220.691139,benzyna,WI52526
1,5,10,1,108003.979282,gaz,WI87784
1,5,14,1,188961.060293,ropa,WI32057
1,3,0,15,286450.855286,olej,WI66753
1,8,7,9,96724.2935892,benzyna,WI72113
1,3,5,1,7406.87719483,ropa,WI61287
1,5,7,4,247856.613713,benzyna,WI73114
1,1,12,6,198313.373764,gaz,WI50548
1,8,1,8,108436.154565,olej,WI35081
1,3,11,3,89657.2874888,benzyna,WI33601
1,1,12,9,16240.7895202,olej,WI13471
1,6,9,15,244748.549019,benzyna,WI44441
1,7,1,12,59692.0393271,gaz,WI28564
1,1,0,15,290725.510393,gaz,WI52521
1,5,1,5,227779.598574,olej,WI46706
1,0,10,14,141973.641415,olej,WI74761
1,3,11,4,229345.529646,olej,WI46590
1,7,15,10,294348.283115,ropa,WI30646
1,9,2,15,211513.173599,ropa,WI52574
1,1,14,13,222230.620298,benzyna,WI52701
1,9,3,11,162321.47831,gaz,WI39765
1,1,15,10,176233.178935,olej,WI61067
1,6,5,9,20933.5603933,benzyna,WI48611
1,2,16,10,252702.198792,ropa,WI46325
1,9,0,4,85393.25002,ropa,WI25248
1,1,3,1,127350.878673,ropa,WI41108
1,2,5,15,186155.125661,benzyna,WI73932
1,0,0,10,13314.633518,benzyna,WI31825
1,9,8,12,125357.81523,gaz,WI83867
1,3,9,12,232961.018563,ropa,WI51010
1,1,9,3,157119.800271,ropa,WI88470
1,7,16,12,283234.576908,benzyna,WI57301
1,5,16,10,137349.237142,gaz,WI67094
1,4,4,11,63321.3247793,ropa,WI74711
1,7,4,11,197006.865155,gaz,WI57496
1,3,11,11,65553.108112,ropa,WI43965
1,6,16,11,62250.0795807,olej,WI77006
1,6,0,0,216320.520234,olej,WI78352
1,0,15,9,35742.1920042,olej,WI54601
1,7,4,2,68616.5430022,benzyna,WI55378
1,5,1,11,32540.436016,ropa,WI74305
1,7,11,3,98638.4860828,ropa,WI63088
1,4,10,13,283147.404902,gaz,WI58348
1,2,0,5,11811.8230474,olej,WI54677
1,7,16,1,262741.615952,ropa,WI71824
1,7,18,1,37841.8220327,olej,WI25640
1,9,16,9,144828.998581,benzyna,WI97687
1,9,11,15,242632.407009,ropa,WI61547
1,9,5,1,195239.240406,benzyna,WI13529
1,9,6,8,236766.172472,ropa,WI93493
1,4,8,1,229102.162907,gaz,WI82379
1,0,0,15,230982.749744,benzyna,WI80916
1,7,0,15,112802.353927,gaz,WI83733
1,5,2,15,176946.699815,olej,WI90507
1,9,15,0,8293.75627938,benzyna,WI23489
1,5,1,11,214062.124962,gaz,WI90391
1,1,14,14,116449.82452,benzyna,WI51744
1,3,3,5,58837.7364646,benzyna,WI62623
1,7,18,8,182146.753202,ropa,WI46971
1,5,9,12,273871.160923,gaz,WI97692
1,0,17,4,41265.2205941,olej,WI87150
1,3,16,13,150168.277986,olej,WI72252
1,3,5,13,19937.819306,ropa,WI87675
1,3,18,7,274181.293667,benzyna,WI88975
1,3,9,15,20405.3236289,olej,WI34943
1,9,7,1,295622.168035,olej,WI51105
1,9,16,9,227117.532933,ropa,WI49932
1,6,6,12,113674.580461,gaz,WI48699
1,4,13,11,74503.8596882,olej,WI21294
1,3,16,14,96158.7085709,gaz,WI83298
1,4,8,15,242126.651328,olej,WI69608
1,7,4,14,202171.605387,benzyna,WI52186
1,3,4,6,53007.9466787,ropa,WI71071
1,5,15,3,293691.056726,gaz,WI61739
1,7,14,15,166857.274173,gaz,WI20574
1,7,15,11,266245.513047,ropa,WI67999
1,0,13,5,69633.7297117,olej,WI86735
1,8,7,8,129787.457116,ropa,WI33035
1,8,8,11,279046.026382,olej,WI26458
1,5,2,12,506.287238862,gaz,WI48190
1,0,6,14,156755.55187,benzyna,WI15182
1,4,4,7,40781.2346424,benzyna,WI99250
1,8,3,8,15980.8406486,gaz,WI26749
1,5,2,2,69943.9970253,olej,WI68788
1,4,8,5,299804.168178,olej,WI57772
1,4,16,12,35084.4757987,ropa,WI82988
1,4,1,10,55055.0411347,benzyna,WI32949
1,4,6,11,40849.0359206,benzyna,WI41290
1,6,5,12,99344.7707272,ropa,WI36210
1,2,3,13,271422.559208,benzyna,WI48312
1,5,18,14,30700.2553773,gaz,WI51502
1,0,3,5,161594.095697,ropa,WI32391
1,8,3,6,129421.766377,benzyna,WI10047
1,2,17,5,119281.543395,gaz,WI68290
1,8,18,11,132516.551763,benzyna,WI79772
1,9,18,9,179882.76543,ropa,WI45379
1,1,17,9,295921.303972,gaz,WI46956
1,6,1,15,280002.939816,olej,WI88629
1,7,2,8,212436.497185,benzyna,WI38274
1,7,14,10,138619.502375,ropa,WI27561
1,6,11,13,147378.618413,benzyna,WI92376
1,0,4,12,195343.656798,ropa,WI39679
1,2,2,12,196945.96754,benzyna,WI43487
1,9,1,9,118257.184347,benzyna,WI24478
1,4,6,12,178623.700709,olej,WI21724
1,4,9,2,153458.352124,benzyna,WI40337
1,4,5,9,20935.3390065,olej,WI25237
1,0,2,10,67145.7477919,ropa,WI90552
1,3,9,10,255555.016938,ropa,WI82076
1,3,6,14,172372.058628,gaz,WI14716
1,3,14,4,180071.986184,olej,WI53010
1,7,18,4,92103.960684,gaz,WI65084
1,5,12,14,157582.709918,ropa,WI65295
1,1,9,10,167155.058429,gaz,WI55815
1,3,16,13,163795.776502,gaz,WI70765
1,9,5,15,102766.018904,gaz,WI21248
1,6,14,10,5833.57737253,olej,WI74641
1,0,5,0,276977.842931,gaz,WI59196
1,2,1,5,63579.0073537,gaz,WI30897
1,0,14,13,235138.054505,olej,WI76711
1,0,3,5,7618.61977702,olej,WI34860
1,8,14,2,264936.225136,ropa,WI64662
1,4,10,0,92113.2499675,gaz,WI70234
1,1,16,11,173199.326484,benzyna,WI60319
1,2,17,13,205437.751797,ropa,WI51119
1,4,3,14,210291.586843,ropa,WI45355
1,8,2,0,31495.8235249,ropa,WI68690
1,4,13,8,265827.00167,gaz,WI79612
1,3,12,0,20970.5603989,ropa,WI46359
1,1,17,8,188164.549855,ropa,WI75097
1,8,5,12,118898.690008,olej,WI83383
1,7,1,5,243648.020407,benzyna,WI96764
1,2,6,13,19039.7214066,benzyna,WI67148
1,5,2,5,9401.95115876,olej,WI93539
1,1,4,3,155672.015546,benzyna,WI39762
1,3,2,5,171452.515595,ropa,WI12585
1,8,16,3,15904.1516931,ropa,WI71934
1,6,16,11,143859.715188,olej,WI70821
1,7,16,14,64368.1130707,ropa,WI43873
1,9,3,10,248961.914169,gaz,WI14757
1,1,16,1,30811.9029143,benzyna,WI76402
1,1,0,12,44979.100176,olej,WI36399
1,9,13,5,171155.181778,gaz,WI69359
1,8,3,9,75351.7692039,ropa,WI23223
1,4,15,13,176237.999252,ropa,WI47973
1,8,13,1,44393.5830319,ropa,WI40368
1,6,16,9,236375.408743,olej,WI80566
1,7,18,7,183732.204546,benzyna,WI78456
1,9,16,9,159673.692804,benzyna,WI49976
1,5,11,8,198901.472214,olej,WI39126
1,5,10,4,191656.249517,olej,WI70343
1,7,14,8,29401.9930417,ropa,WI32630
1,1,11,3,202306.614731,gaz,WI57705
